"id","Response","key","percent_match","Scored","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Shuffle","Stimuli.Stimuli.Notes","Procedure.Shuffle","Response.JOL","Procedure.Shuffle.1","Response.RT"
"w10125208_cfe","head","head","1",1,2,"JOL","scalp","Study1","F","Study Phase",80,"Recall1",2281
"w10132740_fmm","head","head","1",1,2,"JOL","scalp","Study1","F","Study Phase",50,"Recall1",2017
"w10137415_tj","hair","head","0.5",0,2,"JOL","scalp","Study1","F","Study Phase",90,"Recall1",3261
"w10139313_DNM","","head","0",0,2,"JOL","scalp","Study1","F","Study Phase",100,"Recall1",4155
"w10143279D.A","hair ","head","0.4",0,2,"JOL","scalp","Study1","F","Study Phase",100,"Recall1",2453
"w10152065_kgp","head","head","1",1,2,"JOL","scalp","Study1","F","Study Phase",87,"Recall1",2476
"w10152143_ars","hair","head","0.5",0,2,"JOL","scalp","Study1","F","Study Phase",70,"Recall1",2019
"w10152190_mm","head","head","1",1,2,"JOL","scalp","Study1","F","Study Phase",90,"Recall1",1315
"w10152527_jmt","head","head","1",1,2,"JOL","scalp","Study1","F","Study Phase",65,"Recall1",2460
"w10159882_ARS","head","head","1",1,2,"JOL","scalp","Study1","F","Study Phase",100,"Recall1",3013
"w10160519_vas","head","head","1",1,2,"JOL","scalp","Study1","F","Study Phase",100,"Recall1",1579
"w10161022_mj","head","head","1",1,2,"JOL","scalp","Study1","F","Study Phase",80,"Recall1",1305
"w10168271ae","head","head","1",1,2,"JOL","scalp","Study1","F","Study Phase",80,"Recall1",1809
"w470603_jgn","head","head","1",1,2,"JOL","scalp","Study1","F","Study Phase",100,"Recall1",2063
"w738206JEH","head","head","1",1,2,"JOL","scalp","Study1","F","Study Phase",90,"Recall1",3803
"10158411AW","","shake","0",0,2,"JOL","shell","Study1","U","Study Phase",10,"Recall1",6132
"10178510lj","","shake","0",0,2,"JOL","shell","Study1","U","Study Phase",12,"Recall1",2163
"w10125208_cfe","shock","shake","0.6",0,2,"JOL","shell","Study1","U","Study Phase",20,"Recall1",5605
"w10132740_fmm","beach","shake","0.6",0,2,"JOL","shell","Study1","U","Study Phase",0,"Recall1",3123
"w10137415_tj","shake","shake","1",1,2,"JOL","shell","Study1","U","Study Phase",50,"Recall1",3316
"w10139313_DNM","shock","shake","0.6",0,2,"JOL","shell","Study1","U","Study Phase",40,"Recall1",3784
"w10143279D.A","snake","shake","0.8",1,2,"JOL","shell","Study1","U","Study Phase",15,"Recall1",3214
"w10152065_kgp","shake","shake","1",1,2,"JOL","shell","Study1","U","Study Phase",40,"Recall1",2403
"w10152143_ars","shock","shake","0.6",0,2,"JOL","shell","Study1","U","Study Phase",60,"Recall1",4074
"w10152190_mm","shake","shake","1",1,2,"JOL","shell","Study1","U","Study Phase",58,"Recall1",4613
"w10152527_jmt","","shake","0",0,2,"JOL","shell","Study1","U","Study Phase",20,"Recall1",4157
"w10159882_ARS","fish","shake","0.4",0,2,"JOL","shell","Study1","U","Study Phase",10,"Recall1",6014
"w10160519_vas","shake","shake","1",1,2,"JOL","shell","Study1","U","Study Phase",28,"Recall1",2788
"w10161022_mj","shock","shake","0.6",0,2,"JOL","shell","Study1","U","Study Phase",45,"Recall1",3886
"w10168271ae","?","shake","0",0,2,"JOL","shell","Study1","U","Study Phase",30,"Recall1",4411
"w470603_jgn","rock","shake","0.2",0,2,"JOL","shell","Study1","U","Study Phase",0,"Recall1",4050
"w738206JEH","shake","shake","1",1,2,"JOL","shell","Study1","U","Study Phase",73,"Recall1",3226
"10158411AW","","tick","0",0,2,"JOL","sign","Study1","U","Study Phase",12,"Recall1",5726
"10178510lj","","tick","0",0,2,"JOL","sign","Study1","U","Study Phase",3,"Recall1",3020
"w10125208_cfe","up","tick","0",0,2,"JOL","sign","Study1","U","Study Phase",20,"Recall1",3577
"w10132740_fmm","stop","tick","0.25",0,2,"JOL","sign","Study1","U","Study Phase",0,"Recall1",3324
"w10137415_tj","tick","tick","1",1,2,"JOL","sign","Study1","U","Study Phase",20,"Recall1",3227
"w10139313_DNM","","tick","0",0,2,"JOL","sign","Study1","U","Study Phase",30,"Recall1",2773
"w10143279D.A","name","tick","0",0,2,"JOL","sign","Study1","U","Study Phase",5,"Recall1",3996
"w10152065_kgp","post","tick","0.25",0,2,"JOL","sign","Study1","U","Study Phase",13,"Recall1",2537
"w10152143_ars","draw","tick","0",0,2,"JOL","sign","Study1","U","Study Phase",40,"Recall1",6481
"w10152190_mm","","tick","0",0,2,"JOL","sign","Study1","U","Study Phase",10,"Recall1",3278
"w10152527_jmt","","tick","0",0,2,"JOL","sign","Study1","U","Study Phase",15,"Recall1",4010
"w10159882_ARS","","tick","0",0,2,"JOL","sign","Study1","U","Study Phase",0,"Recall1",3178
"w10160519_vas","run","tick","0",0,2,"JOL","sign","Study1","U","Study Phase",31,"Recall1",2544
"w10161022_mj","language","tick","0",0,2,"JOL","sign","Study1","U","Study Phase",20,"Recall1",2415
"w10168271ae","?","tick","0",0,2,"JOL","sign","Study1","U","Study Phase",30,"Recall1",10550
"w470603_jgn","f","tick","0",0,2,"JOL","sign","Study1","U","Study Phase",34,"Recall1",5433
"w738206JEH","on","tick","0",0,2,"JOL","sign","Study1","U","Study Phase",30,"Recall1",10313
"10158411AW","rough","rough","1",1,2,"JOL","silk","Study1","M","Study Phase",44,"Recall1",3128
"10178510lj","soft","rough","0.2",0,2,"JOL","silk","Study1","M","Study Phase",6,"Recall1",4935
"w10125208_cfe","carpet","rough","0.166666666666667",0,2,"JOL","silk","Study1","M","Study Phase",20,"Recall1",8628
"w10132740_fmm","smooth","rough","0.333333333333333",0,2,"JOL","silk","Study1","M","Study Phase",0,"Recall1",6766
"w10137415_tj","rough","rough","1",1,2,"JOL","silk","Study1","M","Study Phase",0,"Recall1",5933
"w10139313_DNM","rough","rough","1",1,2,"JOL","silk","Study1","M","Study Phase",45,"Recall1",4845
"w10143279D.A","rough","rough","1",1,2,"JOL","silk","Study1","M","Study Phase",100,"Recall1",6175
"w10152065_kgp","rough","rough","1",1,2,"JOL","silk","Study1","M","Study Phase",26,"Recall1",2961
"w10152143_ars","smooth","rough","0.333333333333333",0,2,"JOL","silk","Study1","M","Study Phase",40,"Recall1",6819
"w10152190_mm","rough","rough","1",1,2,"JOL","silk","Study1","M","Study Phase",10,"Recall1",1651
"w10152527_jmt","smooth","rough","0.333333333333333",0,2,"JOL","silk","Study1","M","Study Phase",15,"Recall1",6102
"w10159882_ARS","rough","rough","1",1,2,"JOL","silk","Study1","M","Study Phase",20,"Recall1",3611
"w10160519_vas","hard","rough","0.4",0,2,"JOL","silk","Study1","M","Study Phase",66,"Recall1",3036
"w10161022_mj","hard","rough","0.4",0,2,"JOL","silk","Study1","M","Study Phase",77,"Recall1",1570
"w10168271ae","rough","rough","1",1,2,"JOL","silk","Study1","M","Study Phase",70,"Recall1",6507
"w470603_jgn","rough","rough","1",1,2,"JOL","silk","Study1","M","Study Phase",0,"Recall1",6996
"w738206JEH","rough","rough","1",1,2,"JOL","silk","Study1","M","Study Phase",80,"Recall1",3362
"10158411AW","drink","drink","1",1,2,"JOL","sip","Study1","F","Study Phase",12,"Recall1",3216
"10178510lj","","drink","0",0,2,"JOL","sip","Study1","F","Study Phase",15,"Recall1",1350
"w10125208_cfe","cup","drink","0",0,2,"JOL","sip","Study1","F","Study Phase",99,"Recall1",3831
"w10132740_fmm","drink","drink","1",1,2,"JOL","sip","Study1","F","Study Phase",0,"Recall1",2629
"w10137415_tj","drink","drink","1",1,2,"JOL","sip","Study1","F","Study Phase",80,"Recall1",1838
"w10139313_DNM","drink","drink","1",1,2,"JOL","sip","Study1","F","Study Phase",80,"Recall1",6730
"w10143279D.A","tea","drink","0",0,2,"JOL","sip","Study1","F","Study Phase",30,"Recall1",2550
"w10152065_kgp","drink","drink","1",1,2,"JOL","sip","Study1","F","Study Phase",76,"Recall1",2967
"w10152143_ars","drink","drink","1",1,2,"JOL","sip","Study1","F","Study Phase",80,"Recall1",3029
"w10152190_mm","drink","drink","1",1,2,"JOL","sip","Study1","F","Study Phase",50,"Recall1",2507
"w10152527_jmt","drink","drink","1",1,2,"JOL","sip","Study1","F","Study Phase",45,"Recall1",3060
"w10159882_ARS","drink ","drink","0.833333333333333",1,2,"JOL","sip","Study1","F","Study Phase",100,"Recall1",4188
"w10160519_vas","drink","drink","1",1,2,"JOL","sip","Study1","F","Study Phase",89,"Recall1",2182
"w10161022_mj","drink","drink","1",1,2,"JOL","sip","Study1","F","Study Phase",90,"Recall1",3088
"w10168271ae","drink","drink","1",1,2,"JOL","sip","Study1","F","Study Phase",100,"Recall1",7531
"w470603_jgn","drink","drink","1",1,2,"JOL","sip","Study1","F","Study Phase",100,"Recall1",2210
"w738206JEH","drink","drink","1",1,2,"JOL","sip","Study1","F","Study Phase",79,"Recall1",2968
"10158411AW","","belt","0",0,2,"JOL","soon","Study1","U","Study Phase",0,"Recall1",2838
"10178510lj","","belt","0",0,2,"JOL","soon","Study1","U","Study Phase",50,"Recall1",3828
"w10125208_cfe","now","belt","0",0,2,"JOL","soon","Study1","U","Study Phase",30,"Recall1",5385
"w10132740_fmm","later","belt","0.6",0,2,"JOL","soon","Study1","U","Study Phase",0,"Recall1",2834
"w10137415_tj","","belt","0",0,2,"JOL","soon","Study1","U","Study Phase",0,"Recall1",4844
"w10139313_DNM","","belt","0",0,2,"JOL","soon","Study1","U","Study Phase",20,"Recall1",2533
"w10143279D.A","later","belt","0.6",0,2,"JOL","soon","Study1","U","Study Phase",0,"Recall1",3286
"w10152065_kgp","","belt","0",0,2,"JOL","soon","Study1","U","Study Phase",87,"Recall1",6357
"w10152143_ars","after","belt","0.4",0,2,"JOL","soon","Study1","U","Study Phase",30,"Recall1",3901
"w10152190_mm","","belt","0",0,2,"JOL","soon","Study1","U","Study Phase",23,"Recall1",1791
"w10152527_jmt","","belt","0",0,2,"JOL","soon","Study1","U","Study Phase",15,"Recall1",3060
"w10159882_ARS","later","belt","0.6",0,2,"JOL","soon","Study1","U","Study Phase",0,"Recall1",6241
"w10160519_vas","now","belt","0",0,2,"JOL","soon","Study1","U","Study Phase",22,"Recall1",1479
"w10161022_mj","before","belt","0.333333333333333",0,2,"JOL","soon","Study1","U","Study Phase",40,"Recall1",4144
"w10168271ae","?","belt","0",0,2,"JOL","soon","Study1","U","Study Phase",20,"Recall1",7746
"w470603_jgn","after","belt","0.4",0,2,"JOL","soon","Study1","U","Study Phase",5,"Recall1",5233
"w738206JEH","stir","belt","0.25",0,2,"JOL","soon","Study1","U","Study Phase",10,"Recall1",4317
"10158411AW","","cloth","0",0,2,"JOL","stretch","Study1","U","Study Phase",2,"Recall1",4195
"10178510lj","","cloth","0",0,2,"JOL","stretch","Study1","U","Study Phase",13,"Recall1",1240
"w10125208_cfe","time","cloth","0.2",0,2,"JOL","stretch","Study1","U","Study Phase",30,"Recall1",3859
"w10132740_fmm","yoga","cloth","0.2",0,2,"JOL","stretch","Study1","U","Study Phase",0,"Recall1",3436
"w10137415_tj","cloth","cloth","1",1,2,"JOL","stretch","Study1","U","Study Phase",10,"Recall1",4512
"w10139313_DNM","cloth","cloth","1",1,2,"JOL","stretch","Study1","U","Study Phase",60,"Recall1",2449
"w10143279D.A","tall","cloth","0.4",0,2,"JOL","stretch","Study1","U","Study Phase",20,"Recall1",2560
"w10152065_kgp","","cloth","0",0,2,"JOL","stretch","Study1","U","Study Phase",7,"Recall1",1506
"w10152143_ars","fabric","cloth","0.166666666666667",0,2,"JOL","stretch","Study1","U","Study Phase",40,"Recall1",5162
"w10152190_mm","","cloth","0",0,2,"JOL","stretch","Study1","U","Study Phase",46,"Recall1",4087
"w10152527_jmt","cloth","cloth","1",1,2,"JOL","stretch","Study1","U","Study Phase",30,"Recall1",11372
"w10159882_ARS","forward","cloth","0.142857142857143",0,2,"JOL","stretch","Study1","U","Study Phase",0,"Recall1",9457
"w10160519_vas","sing","cloth","0",0,2,"JOL","stretch","Study1","U","Study Phase",25,"Recall1",3261
"w10161022_mj","cotton","cloth","0.5",0,2,"JOL","stretch","Study1","U","Study Phase",60,"Recall1",4070
"w10168271ae","?","cloth","0",0,2,"JOL","stretch","Study1","U","Study Phase",20,"Recall1",3764
"w470603_jgn","lon","cloth","0.4",0,2,"JOL","stretch","Study1","U","Study Phase",0,"Recall1",2445
"w738206JEH","cloth","cloth","1",1,2,"JOL","stretch","Study1","U","Study Phase",60,"Recall1",6200
"10158411AW","","lion","0",0,2,"JOL","stripes","Study1","M","Study Phase",17,"Recall1",5597
"10178510lj","","lion","0",0,2,"JOL","stripes","Study1","M","Study Phase",13,"Recall1",1850
"w10125208_cfe","lion","lion","1",1,2,"JOL","stripes","Study1","M","Study Phase",20,"Recall1",9749
"w10132740_fmm","shirt","lion","0.2",0,2,"JOL","stripes","Study1","M","Study Phase",0,"Recall1",3256
"w10137415_tj","lion","lion","1",1,2,"JOL","stripes","Study1","M","Study Phase",0,"Recall1",1685
"w10139313_DNM","lion","lion","1",1,2,"JOL","stripes","Study1","M","Study Phase",65,"Recall1",2237
"w10143279D.A","lion","lion","1",1,2,"JOL","stripes","Study1","M","Study Phase",0,"Recall1",3580
"w10152065_kgp","lion","lion","1",1,2,"JOL","stripes","Study1","M","Study Phase",18,"Recall1",4985
"w10152143_ars","lion","lion","1",1,2,"JOL","stripes","Study1","M","Study Phase",20,"Recall1",2782
"w10152190_mm","","lion","0",0,2,"JOL","stripes","Study1","M","Study Phase",23,"Recall1",1509
"w10152527_jmt","","lion","0",0,2,"JOL","stripes","Study1","M","Study Phase",4,"Recall1",5746
"w10159882_ARS","lion","lion","1",1,2,"JOL","stripes","Study1","M","Study Phase",100,"Recall1",3182
"w10160519_vas","lion","lion","1",1,2,"JOL","stripes","Study1","M","Study Phase",55,"Recall1",2080
"w10161022_mj","lion","lion","1",1,2,"JOL","stripes","Study1","M","Study Phase",60,"Recall1",4196
"w10168271ae","lion","lion","1",1,2,"JOL","stripes","Study1","M","Study Phase",30,"Recall1",2187
"w470603_jgn","lion","lion","1",1,2,"JOL","stripes","Study1","M","Study Phase",NA,"Recall1",2569
"w738206JEH","lion","lion","1",1,2,"JOL","stripes","Study1","M","Study Phase",45,"Recall1",2550
"10158411AW","bird","bird","1",1,2,"JOL","swan","Study1","F","Study Phase",85,"Recall1",8582
"10178510lj","bird","bird","1",1,2,"JOL","swan","Study1","F","Study Phase",40,"Recall1",2565
"w10125208_cfe","bird","bird","1",1,2,"JOL","swan","Study1","F","Study Phase",50,"Recall1",2734
"w10132740_fmm","goose","bird","0",0,2,"JOL","swan","Study1","F","Study Phase",0,"Recall1",5594
"w10137415_tj","bird","bird","1",1,2,"JOL","swan","Study1","F","Study Phase",90,"Recall1",2895
"w10139313_DNM","bird","bird","1",1,2,"JOL","swan","Study1","F","Study Phase",90,"Recall1",2969
"w10143279D.A","lake","bird","0",0,2,"JOL","swan","Study1","F","Study Phase",20,"Recall1",3873
"w10152065_kgp","bird","bird","1",1,2,"JOL","swan","Study1","F","Study Phase",75,"Recall1",2328
"w10152143_ars","bird","bird","1",1,2,"JOL","swan","Study1","F","Study Phase",50,"Recall1",4697
"w10152190_mm","","bird","0",0,2,"JOL","swan","Study1","F","Study Phase",80,"Recall1",3621
"w10152527_jmt","feather","bird","0.142857142857143",0,2,"JOL","swan","Study1","F","Study Phase",60,"Recall1",6015
"w10159882_ARS","bird","bird","1",1,2,"JOL","swan","Study1","F","Study Phase",100,"Recall1",2817
"w10160519_vas","bird","bird","1",1,2,"JOL","swan","Study1","F","Study Phase",98,"Recall1",3778
"w10161022_mj","lake","bird","0",0,2,"JOL","swan","Study1","F","Study Phase",50,"Recall1",1651
"w10168271ae","bird","bird","1",1,2,"JOL","swan","Study1","F","Study Phase",60,"Recall1",3202
"w470603_jgn","bird","bird","1",1,2,"JOL","swan","Study1","F","Study Phase",100,"Recall1",3227
"w738206JEH","bird","bird","1",1,2,"JOL","swan","Study1","F","Study Phase",90,"Recall1",3022
"10158411AW","tree","tree","1",1,2,"JOL","syrup","Study1","M","Study Phase",1,"Recall1",2464
"10178510lj","","tree","0",0,2,"JOL","syrup","Study1","M","Study Phase",8,"Recall1",1408
"w10125208_cfe","tree","tree","1",1,2,"JOL","syrup","Study1","M","Study Phase",20,"Recall1",3612
"w10132740_fmm","sticky","tree","0.166666666666667",0,2,"JOL","syrup","Study1","M","Study Phase",0,"Recall1",2445
"w10137415_tj","tree","tree","1",1,2,"JOL","syrup","Study1","M","Study Phase",10,"Recall1",2079
"w10139313_DNM","tree","tree","1",1,2,"JOL","syrup","Study1","M","Study Phase",55,"Recall1",3787
"w10143279D.A","pancake","tree","0.142857142857143",0,2,"JOL","syrup","Study1","M","Study Phase",20,"Recall1",4075
"w10152065_kgp","tree","tree","1",1,2,"JOL","syrup","Study1","M","Study Phase",9,"Recall1",2481
"w10152143_ars","tree","tree","1",1,2,"JOL","syrup","Study1","M","Study Phase",30,"Recall1",3542
"w10152190_mm","tree","tree","1",1,2,"JOL","syrup","Study1","M","Study Phase",80,"Recall1",2461
"w10152527_jmt","tree","tree","1",1,2,"JOL","syrup","Study1","M","Study Phase",30,"Recall1",2614
"w10159882_ARS","tree","tree","1",1,2,"JOL","syrup","Study1","M","Study Phase",10,"Recall1",3136
"w10160519_vas","tree","tree","1",1,2,"JOL","syrup","Study1","M","Study Phase",77,"Recall1",1683
"w10161022_mj","tree","tree","1",1,2,"JOL","syrup","Study1","M","Study Phase",94,"Recall1",3827
"w10168271ae","tree","tree","1",1,2,"JOL","syrup","Study1","M","Study Phase",50,"Recall1",2347
"w470603_jgn","tree","tree","1",1,2,"JOL","syrup","Study1","M","Study Phase",100,"Recall1",1968
"w738206JEH","tree","tree","1",1,2,"JOL","syrup","Study1","M","Study Phase",40,"Recall1",2609
"10158411AW","morning","morning","1",1,2,"JOL","temperature","Study1","U","Study Phase",0,"Recall1",9117
"10178510lj","rising","morning","0.571428571428571",0,2,"JOL","temperature","Study1","U","Study Phase",12,"Recall1",6211
"w10125208_cfe","morning ","morning","0.875",1,2,"JOL","temperature","Study1","U","Study Phase",80,"Recall1",6085
"w10132740_fmm","morning","morning","1",1,2,"JOL","temperature","Study1","U","Study Phase",0,"Recall1",2927
"w10137415_tj","morning","morning","1",1,2,"JOL","temperature","Study1","U","Study Phase",10,"Recall1",3171
"w10139313_DNM","","morning","0",0,2,"JOL","temperature","Study1","U","Study Phase",60,"Recall1",17774
"w10143279D.A","morning ","morning","0.875",1,2,"JOL","temperature","Study1","U","Study Phase",0,"Recall1",4961
"w10152065_kgp","morning","morning","1",1,2,"JOL","temperature","Study1","U","Study Phase",23,"Recall1",2688
"w10152143_ars","morning","morning","1",1,2,"JOL","temperature","Study1","U","Study Phase",40,"Recall1",3294
"w10152190_mm","morning","morning","1",1,2,"JOL","temperature","Study1","U","Study Phase",20,"Recall1",9474
"w10152527_jmt","morning","morning","1",1,2,"JOL","temperature","Study1","U","Study Phase",35,"Recall1",2806
"w10159882_ARS","morning","morning","1",1,2,"JOL","temperature","Study1","U","Study Phase",5,"Recall1",4257
"w10160519_vas","morning","morning","1",1,2,"JOL","temperature","Study1","U","Study Phase",0,"Recall1",2381
"w10161022_mj","morning","morning","1",1,2,"JOL","temperature","Study1","U","Study Phase",12,"Recall1",3966
"w10168271ae","day","morning","0",0,2,"JOL","temperature","Study1","U","Study Phase",30,"Recall1",3581
"w470603_jgn","day","morning","0",0,2,"JOL","temperature","Study1","U","Study Phase",50,"Recall1",2067
"w738206JEH","morning","morning","1",1,2,"JOL","temperature","Study1","U","Study Phase",39,"Recall1",3182
"10158411AW","fish","fish","1",1,2,"JOL","tuna","Study1","F","Study Phase",99,"Recall1",2718
"10178510lj","fish","fish","1",1,2,"JOL","tuna","Study1","F","Study Phase",45,"Recall1",2524
"w10125208_cfe","fish","fish","1",1,2,"JOL","tuna","Study1","F","Study Phase",90,"Recall1",2481
"w10132740_fmm","fish","fish","1",1,2,"JOL","tuna","Study1","F","Study Phase",100,"Recall1",1982
"w10137415_tj","fish","fish","1",1,2,"JOL","tuna","Study1","F","Study Phase",100,"Recall1",1544
"w10139313_DNM","fish","fish","1",1,2,"JOL","tuna","Study1","F","Study Phase",99,"Recall1",2204
"w10143279D.A","fish","fish","1",1,2,"JOL","tuna","Study1","F","Study Phase",100,"Recall1",2185
"w10152065_kgp","fish","fish","1",1,2,"JOL","tuna","Study1","F","Study Phase",100,"Recall1",2119
"w10152143_ars","fish","fish","1",1,2,"JOL","tuna","Study1","F","Study Phase",80,"Recall1",2898
"w10152190_mm","fish","fish","1",1,2,"JOL","tuna","Study1","F","Study Phase",100,"Recall1",1331
"w10152527_jmt","fish","fish","1",1,2,"JOL","tuna","Study1","F","Study Phase",60,"Recall1",2541
"w10159882_ARS","fish","fish","1",1,2,"JOL","tuna","Study1","F","Study Phase",100,"Recall1",2806
"w10160519_vas","fish","fish","1",1,2,"JOL","tuna","Study1","F","Study Phase",99,"Recall1",1341
"w10161022_mj","fish","fish","1",1,2,"JOL","tuna","Study1","F","Study Phase",99,"Recall1",1403
"w10168271ae","fish","fish","1",1,2,"JOL","tuna","Study1","F","Study Phase",100,"Recall1",1790
"w470603_jgn","fish","fish","1",1,2,"JOL","tuna","Study1","F","Study Phase",100,"Recall1",1926
"w738206JEH","fish","fish","1",1,2,"JOL","tuna","Study1","F","Study Phase",97,"Recall1",2248
"10158411AW","","charm","0",0,2,"JOL","vehicle","Study1","U","Study Phase",8,"Recall1",12108
"10178510lj","car","charm","0.6",0,2,"JOL","vehicle","Study1","U","Study Phase",25,"Recall1",7543
"w10125208_cfe","keys","charm","0",0,2,"JOL","vehicle","Study1","U","Study Phase",30,"Recall1",2942
"w10132740_fmm","car","charm","0.6",0,2,"JOL","vehicle","Study1","U","Study Phase",0,"Recall1",11739
"w10137415_tj","charm","charm","1",1,2,"JOL","vehicle","Study1","U","Study Phase",20,"Recall1",2713
"w10139313_DNM","","charm","0",0,2,"JOL","vehicle","Study1","U","Study Phase",40,"Recall1",6379
"w10143279D.A","car","charm","0.6",0,2,"JOL","vehicle","Study1","U","Study Phase",1,"Recall1",2776
"w10152065_kgp","wheels","charm","0.166666666666667",0,2,"JOL","vehicle","Study1","U","Study Phase",56,"Recall1",3494
"w10152143_ars","wheel","charm","0.2",0,2,"JOL","vehicle","Study1","U","Study Phase",20,"Recall1",2553
"w10152190_mm","","charm","0",0,2,"JOL","vehicle","Study1","U","Study Phase",23,"Recall1",1307
"w10152527_jmt","","charm","0",0,2,"JOL","vehicle","Study1","U","Study Phase",16,"Recall1",4423
"w10159882_ARS","moving","charm","0.166666666666667",0,2,"JOL","vehicle","Study1","U","Study Phase",0,"Recall1",4027
"w10160519_vas","car","charm","0.6",0,2,"JOL","vehicle","Study1","U","Study Phase",50,"Recall1",5406
"w10161022_mj","car","charm","0.6",0,2,"JOL","vehicle","Study1","U","Study Phase",43,"Recall1",1506
"w10168271ae","charm","charm","1",1,2,"JOL","vehicle","Study1","U","Study Phase",10,"Recall1",5729
"w470603_jgn","car","charm","0.6",0,2,"JOL","vehicle","Study1","U","Study Phase",0,"Recall1",2804
"w738206JEH","car","charm","0.6",0,2,"JOL","vehicle","Study1","U","Study Phase",10,"Recall1",4634
"10158411AW","income","money","0.666666666666667",0,2,"JOL","wage","Study1","F","Study Phase",15,"Recall1",17331
"10178510lj","money","money","1",1,2,"JOL","wage","Study1","F","Study Phase",12,"Recall1",3819
"w10125208_cfe","money","money","1",1,2,"JOL","wage","Study1","F","Study Phase",50,"Recall1",2744
"w10132740_fmm","money","money","1",1,2,"JOL","wage","Study1","F","Study Phase",0,"Recall1",3248
"w10137415_tj","money","money","1",1,2,"JOL","wage","Study1","F","Study Phase",90,"Recall1",5187
"w10139313_DNM","pay","money","0.2",0,2,"JOL","wage","Study1","F","Study Phase",80,"Recall1",2983
"w10143279D.A","pay","money","0.2",0,2,"JOL","wage","Study1","F","Study Phase",100,"Recall1",5309
"w10152065_kgp","money","money","1",1,2,"JOL","wage","Study1","F","Study Phase",94,"Recall1",3830
"w10152143_ars","pay","money","0.2",0,2,"JOL","wage","Study1","F","Study Phase",55,"Recall1",2090
"w10152190_mm","money","money","1",1,2,"JOL","wage","Study1","F","Study Phase",24,"Recall1",2821
"w10152527_jmt","","money","0",0,2,"JOL","wage","Study1","F","Study Phase",30,"Recall1",5017
"w10159882_ARS","money","money","1",1,2,"JOL","wage","Study1","F","Study Phase",90,"Recall1",3025
"w10160519_vas","money","money","1",1,2,"JOL","wage","Study1","F","Study Phase",99,"Recall1",1759
"w10161022_mj","money","money","1",1,2,"JOL","wage","Study1","F","Study Phase",99,"Recall1",1871
"w10168271ae","money","money","1",1,2,"JOL","wage","Study1","F","Study Phase",80,"Recall1",11781
"w470603_jgn","money","money","1",1,2,"JOL","wage","Study1","F","Study Phase",100,"Recall1",2373
"w738206JEH","money","money","1",1,2,"JOL","wage","Study1","F","Study Phase",70,"Recall1",2523
"10158411AW","horse","horse","1",1,2,"JOL","wheel","Study1","M","Study Phase",15,"Recall1",6265
"10178510lj","wagon","horse","0.2",0,2,"JOL","wheel","Study1","M","Study Phase",14,"Recall1",3108
"w10125208_cfe","horse","horse","1",1,2,"JOL","wheel","Study1","M","Study Phase",40,"Recall1",7164
"w10132740_fmm","wagon","horse","0.2",0,2,"JOL","wheel","Study1","M","Study Phase",0,"Recall1",2986
"w10137415_tj","horse","horse","1",1,2,"JOL","wheel","Study1","M","Study Phase",15,"Recall1",2263
"w10139313_DNM","","horse","0",0,2,"JOL","wheel","Study1","M","Study Phase",55,"Recall1",7208
"w10143279D.A","horse","horse","1",1,2,"JOL","wheel","Study1","M","Study Phase",0,"Recall1",3784
"w10152065_kgp","wagon","horse","0.2",0,2,"JOL","wheel","Study1","M","Study Phase",18,"Recall1",3257
"w10152143_ars","horse","horse","1",1,2,"JOL","wheel","Study1","M","Study Phase",50,"Recall1",4016
"w10152190_mm","horse","horse","1",1,2,"JOL","wheel","Study1","M","Study Phase",30,"Recall1",2118
"w10152527_jmt","donkey","horse","0.333333333333333",0,2,"JOL","wheel","Study1","M","Study Phase",27,"Recall1",4458
"w10159882_ARS","turn","horse","0.2",0,2,"JOL","wheel","Study1","M","Study Phase",0,"Recall1",4764
"w10160519_vas","horse","horse","1",1,2,"JOL","wheel","Study1","M","Study Phase",33,"Recall1",2321
"w10161022_mj","horse","horse","1",1,2,"JOL","wheel","Study1","M","Study Phase",66,"Recall1",1794
"w10168271ae","?","horse","0",0,2,"JOL","wheel","Study1","M","Study Phase",30,"Recall1",2253
"w470603_jgn","horse","horse","1",1,2,"JOL","wheel","Study1","M","Study Phase",75,"Recall1",2088
"w738206JEH","horse","horse","1",1,2,"JOL","wheel","Study1","M","Study Phase",65,"Recall1",2355
"10158411AW","wears","sentence","0.25",0,2,"JOL","word","Study1","F","Study Phase",43,"Recall1",13947
"10178510lj","","sentence","0",0,2,"JOL","word","Study1","F","Study Phase",20,"Recall1",1487
"w10125208_cfe","sentence","sentence","1",1,2,"JOL","word","Study1","F","Study Phase",80,"Recall1",4483
"w10132740_fmm","bank","sentence","0.125",0,2,"JOL","word","Study1","F","Study Phase",0,"Recall1",2388
"w10137415_tj","sentence","sentence","1",1,2,"JOL","word","Study1","F","Study Phase",75,"Recall1",3616
"w10139313_DNM","sentenced","sentence","0.888888888888889",1,2,"JOL","word","Study1","F","Study Phase",90,"Recall1",5697
"w10143279D.A","puzzle ","sentence","0.125",0,2,"JOL","word","Study1","F","Study Phase",100,"Recall1",3546
"w10152065_kgp","sentence","sentence","1",1,2,"JOL","word","Study1","F","Study Phase",55,"Recall1",4205
"w10152143_ars","letter","sentence","0.375",0,2,"JOL","word","Study1","F","Study Phase",70,"Recall1",3205
